,station_id,station_name,raccnt,station_lat,station_lon,ADM_NM,gu
254,ST-87,419. 홈플러스 마포점 앞,21,37.56842,126.899429,성산2동,마포구
255,ST-85,420. 서울시 공공자전거 상암센터,37,37.566246,126.896179,성산2동,마포구
256,ST-82,421. 마포구청 앞,8,37.565746,126.901863,성산2동,마포구
257,ST-968,422. 문화비축기지,9,37.568977,126.894401,성산2동,마포구
258,ST-990,424. 롯데하이마트 (상암월드컵점),15,37.573619,126.898048,상암동,마포구
259,ST-991,425. DMC첨단산업센터,10,37.584503,126.885597,상암동,마포구
260,ST-992,426. 서울신용보증재단,10,37.54906,126.954177,아현동,마포구
261,ST-1397,427. 성산시영아파트,10,37.569583,126.903816,성산2동,마포구
262,ST-1437,428. 명보사거리,10,37.564399,126.991432,을지로동,중구
263,ST-1438,429. 송도병원,8,37.549888,127.007347,다산동,중구
264,ST-1439,430. 장충동먹자골목 앞,6,37.562126,127.006256,광희동,중구
265,ST-1440,431. 청계천 영도교,25,37.571014,127.019744,황학동,중구
266,ST-1494,432. 마포중앙도서관,10,37.563339,126.908203,성산1동,마포구
267,ST-1668,433. 을지로입구역 2번출구,12,37.566345,126.982292,명동,중구
268,ST-1669,434. 신당 래미안 버스정류장,10,37.561489,127.023933,신당5동,중구
269,ST-1670,435. SK 남산빌딩,10,37.556861,126.975616,회현동,중구
270,ST-1675,436. 이대역 5번출구,10,37.556591,126.946189,대흥동,마포구
271,ST-1691,437. 대흥역 1번출구,12,37.548469,126.940925,대흥동,마포구
272,ST-1692,438. 성산2-1 공영주차장,15,37.56472,126.906768,성산2동,마포구
273,ST-1754,440. 하늘공원 입구,15,37.570121,126.881347,상암동,마포구
274,ST-1761,441.염천교사거리,15,37.55989,126.971496,소공동,중구
275,ST-1768,442.서울역 서부,13,37.556415,126.969192,중림동,중구
276,ST-1769,443.호암아트홀,9,37.56211,126.970718,소공동,중구
277,ST-1771,445.대한상공회의소,15,37.560153,126.974105,소공동,중구
278,ST-938,446. 상명대입구,13,37.600128,126.957832,부암동,종로구
279,ST-939,447. 신영동삼거리,6,37.603992,126.961944,부암동,종로구
280,ST-941,449. 일성아파트,10,37.608718,126.972862,평창동,종로구
281,ST-978,450. 효자동 삼거리,51,37.583602,126.972549,청운효자동,종로구
282,ST-979,451. 청와대앞길,8,37.583515,126.979667,삼청동,종로구
283,ST-1605,452. 동대문 종합시장 버스정류장,13,37.571239,127.004409,종로5·6가동,종로구
284,ST-1606,453. 종로오가 지하쇼핑센터 14번출구,10,37.57114,127.000671,종로5·6가동,종로구
285,ST-1607,454. 종로2가 버스정류장 (종각방향),13,37.570358,126.986381,종로1·2·3·4가동,종로구
